seed,p0,p1,p2,p3,avg,income0,income1,income2,income3,money0,money1,money2,money3,canal_income0,canal_income1,canal_income2,canal_income3
32,77,65,101,69,78.00,13,5,21,0,17,11,24,12,2,2,2,4
33,64,108,49,70,72.75,12,10,2,11,16,35,32,40,6,8,3,4
34,0,65,92,81,59.50,-8,6,16,7,0,18,29,26,-5,0,4,6
35,74,86,70,68,74.50,11,7,13,17,9,36,17,14,1,5,1,5
36,60,66,79,86,72.75,5,6,14,5,17,4,16,16,3,5,11,1
37,79,63,95,97,83.50,7,14,7,17,17,18,21,0,5,3,4,2
38,70,80,96,99,86.25,18,18,2,4,11,42,49,26,6,6,6,2
39,65,56,61,46,57.00,1,11,10,5,11,34,18,10,5,6,0,-6
40,65,64,63,111,75.75,9,4,17,6,23,32,34,10,7,1,7,4
41,62,58,88,58,66.50,11,9,10,0,18,19,16,12,4,5,7,2
42,87,91,104,84,91.50,15,22,7,-2,35,22,9,14,6,10,3,5
43,76,35,80,74,66.25,9,-5,-5,16,27,6,30,32,2,1,4,4
44,54,6,49,65,43.50,7,-8,11,14,10,0,13,26,3,-5,4,8
45,95,75,119,73,90.50,20,15,14,11,17,13,7,12,4,5,8,3
46,89,67,68,47,67.75,5,16,16,3,20,45,24,7,7,8,3,-2
47,74,105,94,84,89.25,12,12,15,5,31,11,18,15,0,-2,7,3
48,83,33,88,70,68.50,18,-3,10,7,9,32,13,29,6,-3,3,5
49,61,82,80,81,76.00,6,9,2,9,10,11,35,15,8,3,1,5
50,58,60,63,63,61.00,11,8,-1,1,2,45,13,20,-1,2,4,5
51,43,74,100,67,71.00,9,8,12,13,10,12,19,15,-1,3,4,6
52,69,77,82,73,75.25,15,17,17,0,17,16,17,34,7,4,5,2
53,70,83,84,89,81.50,1,4,2,22,38,17,9,60,1,4,3,3
54,57,76,73,75,70.25,3,11,9,5,38,8,10,17,-1,-1,-1,6
55,71,51,82,79,70.75,8,-7,11,13,32,31,24,10,3,1,2,4
56,79,68,70,6,55.75,17,1,8,-8,28,11,18,0,6,3,4,-5
57,79,111,84,101,93.75,16,16,11,13,3,56,1,4,6,7,2,3
58,69,72,88,37,66.50,11,8,-6,5,15,35,20,13,2,6,2,-2
59,60,46,55,88,62.25,12,1,-3,14,11,28,13,30,7,5,-2,2
60,72,100,107,87,91.50,-3,2,1,18,33,6,18,4,2,4,4,8
61,94,84,124,81,95.75,13,4,4,0,13,9,25,18,5,3,6,7
62,94,109,75,100,94.50,14,13,1,26,2,9,14,18,4,2,4,11
63,55,60,48,46,52.25,3,15,-3,-6,11,15,5,3,2,3,1,2
64,50,91,31,54,56.50,3,6,5,8,27,33,2,30,2,5,-2,1
65,71,60,99,91,80.25,5,16,13,6,17,28,26,18,-6,2,6,1
66,49,103,82,76,77.50,0,9,20,16,36,8,9,15,4,4,9,3
67,96,80,91,79,86.50,11,27,12,7,13,28,35,2,1,9,5,5
68,76,89,84,106,88.75,11,11,9,15,26,9,37,15,-1,0,9,7
69,107,76,88,59,82.50,7,0,12,0,37,6,15,31,5,4,5,2
70,69,69,11,56,51.25,10,7,-8,1,9,10,0,13,6,4,1,3
71,96,69,86,101,88.00,13,-1,9,15,30,21,32,34,7,2,0,4
72,95,67,81,112,88.75,7,6,18,12,34,43,22,42,4,7,3,2
73,113,68,67,80,82.00,9,5,8,4,19,6,14,30,9,-1,7,7
74,123,88,98,82,97.75,8,13,25,11,23,15,29,25,5,3,6,6
75,89,87,94,79,87.25,19,14,9,11,30,10,32,16,6,3,3,3
76,85,82,87,90,86.00,2,10,8,20,18,21,26,52,-1,9,2,7
77,60,70,76,92,74.50,5,20,7,13,0,12,5,15,-3,3,5,8
78,92,77,85,70,81.00,10,5,14,11,9,33,37,5,6,-4,4,-5
79,56,50,60,76,60.50,-2,2,20,7,13,8,27,26,1,-2,1,2
80,85,64,66,61,69.00,9,8,0,-2,15,14,18,28,2,5,2,5
81,101,90,80,89,90.00,12,17,7,21,23,10,10,27,4,8,2,8
82,84,111,105,91,97.75,17,12,0,8,19,30,44,35,6,4,4,7
83,93,90,113,106,100.50,4,17,10,18,33,21,9,29,7,10,5,7
84,63,74,30,69,59.00,6,2,-3,12,19,10,20,49,2,2,0,3
85,48,83,15,39,46.25,-1,7,-10,-3,28,1,0,35,6,1,-4,-2
86,40,58,67,44,52.25,12,-9,9,11,36,14,12,21,7,-1,4,3
87,97,61,98,58,78.50,13,15,7,4,19,27,35,2,7,8,6,-2
88,48,68,55,60,57.75,4,1,9,4,19,3,15,23,2,1,6,-5
89,76,9,100,65,62.50,11,-8,9,8,8,0,20,38,0,-5,3,6
90,46,58,60,52,54.00,15,8,11,-7,13,12,5,6,6,3,0,0
91,92,70,100,96,89.50,7,14,21,0,13,15,35,11,2,-6,7,3
92,49,37,71,52,52.25,12,4,3,15,23,21,32,34,5,0,1,5
93,78,56,58,48,60.00,-1,-1,1,4,16,29,20,24,5,-4,2,7
94,67,77,94,97,83.75,15,13,4,10,13,44,10,8,6,6,3,4
95,112,97,75,91,93.75,18,4,4,6,59,10,28,10,6,0,9,2
96,46,69,81,69,66.25,10,8,8,21,9,4,5,21,1,9,1,8
97,50,68,74,47,59.75,-1,14,9,3,32,24,12,8,1,8,8,-3
98,61,72,72,85,72.50,14,15,5,6,46,18,14,4,10,3,1,4
99,68,74,73,78,73.25,13,4,10,16,12,20,34,17,9,3,7,5
100,97,65,91,78,82.75,18,6,11,16,11,6,1,32,9,-1,4,6
101,53,77,107,66,75.75,-9,12,22,7,31,10,22,9,-5,3,10,1
102,67,43,48,40,49.50,1,-9,2,9,5,18,27,9,6,5,3,-2
103,90,67,72,54,70.75,19,11,11,5,17,3,14,18,5,4,8,1
104,100,89,78,78,86.25,7,14,13,-1,3,25,16,28,5,5,3,-1
105,54,92,64,48,64.50,12,17,10,5,24,9,21,6,5,2,6,-4
106,90,68,73,62,73.25,7,-1,8,14,3,24,29,26,-1,3,1,4
107,85,71,74,59,72.25,10,16,6,18,9,11,11,24,6,5,5,4
108,67,69,46,85,66.75,9,7,10,20,18,6,2,38,0,6,2,7
109,51,39,41,28,39.75,11,2,-1,3,39,17,14,23,6,4,1,-4
110,38,85,53,23,49.75,0,11,-6,-3,38,28,30,3,-1,10,2,-4
111,53,46,90,10,49.75,1,10,14,-8,9,37,9,0,-6,4,5,-5
112,75,53,6,53,46.75,5,12,-9,11,14,14,0,15,3,6,-6,4
113,93,105,84,111,98.25,15,14,16,4,48,37,8,21,12,6,8,3
114,74,121,75,96,91.50,13,20,18,12,22,38,0,17,4,4,8,4
115,78,121,89,82,92.50,13,4,13,9,24,38,26,3,5,5,4,4
116,47,83,59,77,66.50,3,9,3,12,12,47,21,15,-1,2,7,8
117,94,6,80,57,59.25,15,-8,12,0,19,0,44,33,5,-2,1,2
118,99,80,71,91,85.25,17,11,6,4,37,31,11,37,6,8,3,2
119,100,79,78,80,84.25,15,16,13,14,19,31,7,11,5,5,2,4
120,47,62,26,15,37.50,1,7,1,-8,31,13,18,0,4,2,2,-5
121,61,51,70,76,64.50,2,1,-9,8,32,22,11,16,7,5,2,3
122,65,62,58,36,55.25,6,14,10,6,7,30,16,1,-1,3,2,-2
123,50,34,88,47,54.75,-5,8,16,5,6,25,30,8,1,-5,5,1
124,73,62,40,5,45.00,1,-2,16,-9,37,17,11,0,5,4,11,-6
125,82,66,46,94,72.00,12,2,-3,6,20,17,11,14,6,1,4,7
126,73,125,61,67,81.50,12,7,7,11,29,31,42,20,4,5,2,2
127,95,135,68,86,96.00,18,20,1,6,10,85,26,22,9,12,1,0
128,91,75,61,46,68.25,7,17,-5,-5,22,21,18,16,6,11,0,1
129,56,60,85,78,69.75,18,10,3,7,25,15,30,13,11,0,3,4
130,47,73,71,105,74.00,6,22,18,6,19,31,19,21,-2,7,5,2
131,68,98,58,78,75.50,5,1,2,17,12,24,22,13,4,4,3,6
132,46,105,104,63,79.50,14,20,12,1,8,31,10,4,3,12,4,-2
133,63,88,73,80,76.00,-8,1,13,17,2,18,40,30,1,1,4,7
134,69,83,122,86,90.00,12,11,4,18,36,11,3,10,7,6,5,2
135,56,84,81,81,75.50,8,13,16,-5,23,16,16,10,1,3,4,3
136,80,43,68,77,67.00,3,-3,4,-3,10,34,37,30,2,-1,7,4
137,66,89,103,95,88.25,14,11,13,17,34,8,18,22,8,5,4,6
138,82,102,54,68,76.50,11,14,6,19,23,11,17,24,6,4,-1,8
139,91,41,54,94,70.00,7,12,2,15,21,7,38,13,4,-6,1,8
140,74,73,122,67,84.00,18,3,17,5,17,12,19,11,5,-6,9,0
141,60,79,101,100,85.00,5,15,23,4,0,22,16,23,4,9,7,1
142,83,87,95,97,90.50,24,18,15,1,18,22,19,18,3,5,6,7
143,67,87,11,62,56.75,13,19,-9,4,20,15,0,20,6,4,-6,7
144,87,52,8,87,58.50,9,-8,-8,15,27,12,0,19,6,2,-5,9
145,29,50,71,55,51.25,-4,11,16,-1,13,28,67,25,-3,2,11,3
146,95,61,112,92,90.00,23,1,-3,16,24,38,17,29,8,2,3,2
147,92,85,78,54,77.25,16,15,12,11,6,19,6,47,3,9,3,0
148,81,82,67,83,78.25,15,4,2,19,36,6,19,26,8,2,2,7
149,85,66,66,99,79.00,2,15,15,3,27,23,10,15,-2,-6,1,6
150,74,79,96,83,83.00,12,7,21,8,15,13,17,25,5,0,10,3
151,65,3,66,103,59.25,12,-9,12,13,26,0,9,9,10,-6,2,4
152,86,116,84,61,86.75,11,18,15,-2,16,13,23,29,7,8,7,-1
153,110,100,71,92,93.25,13,10,0,22,40,30,34,37,5,3,4,10
154,91,54,105,99,87.25,1,2,10,22,29,11,18,25,3,-2,8,8
155,57,70,61,89,69.25,14,11,10,9,3,38,8,11,-5,-1,0,7
156,74,106,74,82,84.00,15,15,11,3,10,15,10,20,7,5,1,3
157,41,66,77,83,66.75,7,-1,9,17,13,23,9,11,2,0,5,2
158,67,86,69,32,63.50,-1,21,7,3,20,6,31,38,-6,6,9,-2
159,82,80,101,79,85.50,19,9,14,7,19,29,39,13,1,3,6,-3
160,87,78,108,74,86.75,0,16,18,1,26,14,14,30,0,10,5,3
161,104,58,86,93,85.25,20,2,16,13,49,18,18,12,12,1,4,6
162,76,76,106,53,77.75,6,-1,12,-2,17,10,14,15,5,1,10,2
163,76,83,13,108,70.00,3,20,-9,19,13,17,0,14,2,11,-3,7
164,97,60,76,90,80.75,6,0,2,3,19,10,12,22,8,3,10,7
165,67,13,69,71,55.00,2,-8,10,15,9,0,19,20,4,-2,2,5
166,81,63,107,99,87.50,3,12,16,13,30,32,21,11,5,2,5,2
167,76,57,80,86,74.75,15,8,9,12,22,14,22,28,4,6,1,9
168,109,70,69,63,77.75,8,10,12,17,35,16,6,55,7,-2,4,3
169,65,95,75,111,86.50,8,10,8,22,11,13,15,19,4,1,2,9
170,73,79,75,88,78.75,-2,16,9,12,30,21,13,22,3,2,-3,3
171,78,93,78,70,79.75,16,16,-3,-1,11,16,14,30,6,7,4,-2
172,111,84,74,106,93.75,10,16,-2,17,20,55,25,16,8,4,0,6
173,38,79,86,59,65.50,-7,9,7,-4,35,17,26,4,0,6,8,-1
174,73,78,83,6,60.00,15,-5,18,-8,30,36,45,0,5,6,6,-2
175,51,89,75,83,74.50,8,16,14,-5,36,27,5,35,-4,10,3,4
176,73,74,110,73,82.50,9,2,21,14,35,36,41,20,1,7,12,2
177,86,89,79,97,87.75,8,17,0,10,54,27,21,23,9,5,2,6
178,79,88,97,71,83.75,14,15,9,8,31,27,7,13,4,4,12,7
179,82,44,79,113,79.50,9,9,7,20,25,23,30,53,4,6,4,10
180,50,69,84,81,71.00,13,5,14,12,12,17,19,3,6,5,-2,5
181,80,81,79,78,79.50,9,20,-3,6,36,10,10,16,5,5,-1,-2
182,78,45,57,48,57.00,5,16,9,-3,2,14,38,34,6,1,8,2
183,70,40,74,0,46.00,12,-3,13,-8,35,31,53,0,4,5,9,-6
184,35,75,39,57,51.50,-2,8,13,12,15,40,4,31,-1,3,3,3
185,99,89,52,83,80.75,18,15,-9,16,10,9,4,22,0,1,0,7
186,66,62,82,102,78.00,15,11,16,3,9,3,2,17,6,5,3,1
187,124,77,122,100,105.75,18,8,10,21,30,3,41,23,9,-1,5,12
188,60,73,75,83,72.75,16,4,11,12,18,25,35,38,3,5,7,5
189,91,88,88,104,92.75,14,9,16,10,9,9,13,26,9,7,2,-1
190,108,64,79,74,81.25,11,12,12,12,25,17,23,17,5,3,7,5
191,93,86,116,97,98.00,16,6,23,10,28,2,17,12,3,-2,7,6
192,83,79,35,40,59.25,17,5,-6,5,42,25,17,7,6,4,1,6
193,50,41,76,75,60.50,2,0,23,9,22,6,28,13,0,1,8,7
194,63,83,90,65,75.25,2,13,13,11,20,17,14,30,1,3,3,6
195,93,77,81,61,78.00,13,13,11,6,11,6,18,18,5,2,7,0
196,62,103,91,78,83.50,10,14,12,5,38,12,13,29,9,5,4,4
197,4,65,40,33,35.50,-9,7,6,-3,0,18,50,20,-6,10,3,2
198,87,81,99,90,89.25,16,4,10,11,5,10,12,5,3,4,4,-1
199,66,80,75,23,61.00,15,12,18,-9,23,19,45,0,1,4,10,0
200,75,75,84,60,73.50,-1,13,11,-1,28,14,20,19,3,4,3,1
201,94,61,83,68,76.50,5,-4,12,0,16,22,17,36,4,6,11,3
202,106,82,66,15,67.25,16,12,9,-8,31,10,6,0,8,-4,1,-2
203,51,73,81,66,67.75,8,12,11,12,27,32,52,35,2,1,7,-1
204,59,46,65,44,53.50,17,3,0,5,51,36,16,34,10,-2,4,2
205,90,95,110,74,92.25,9,3,11,2,18,38,28,13,4,9,11,4
206,87,95,77,78,84.25,2,23,6,2,15,23,33,24,4,15,2,0
207,84,73,87,77,80.25,16,8,22,8,26,17,13,8,8,4,9,1
208,86,100,71,63,80.00,16,19,4,9,8,6,13,16,6,5,2,2
209,83,71,66,65,71.25,3,22,-2,2,37,23,30,21,6,12,3,4
210,89,97,103,80,92.25,9,5,21,11,16,26,53,15,4,-2,4,6
211,45,30,40,48,40.75,4,5,7,3,34,5,24,14,1,5,5,4
212,51,72,52,84,64.75,3,6,13,15,5,8,39,39,-1,2,2,5
213,98,96,73,79,86.50,3,22,9,3,26,44,8,17,5,7,2,7
214,113,83,57,76,82.25,19,10,11,14,13,11,6,5,9,-2,1,8
215,80,67,75,79,75.25,-1,3,-5,5,16,38,19,36,0,4,1,6
216,97,84,94,100,93.75,13,14,18,-2,61,21,21,31,8,2,6,6
217,50,103,92,102,86.75,12,-3,12,12,18,23,6,41,8,-1,5,8
218,103,99,84,90,94.00,15,5,15,13,12,36,44,26,2,7,0,6
219,71,79,82,107,84.75,9,12,21,7,14,25,23,30,5,2,10,4
220,46,71,78,76,67.75,-7,-8,13,11,35,8,9,32,1,1,5,9
221,48,81,55,60,61.00,-3,14,4,14,11,16,16,18,-1,8,4,0
222,112,76,82,92,90.50,3,-5,14,-2,13,11,13,20,4,5,4,3
223,104,42,2,75,55.75,15,5,-9,13,50,4,0,15,4,-2,-9,13
224,97,84,82,67,82.50,2,13,22,11,16,25,29,14,2,5,11,1
225,84,73,84,67,77.00,5,6,12,15,1,18,12,14,4,4,6,0
226,71,95,97,75,84.50,15,18,9,2,26,33,13,30,6,6,3,3
227,100,72,74,83,82.25,15,10,12,21,11,52,37,35,10,9,8,6
228,67,100,68,96,82.75,12,16,12,5,11,11,0,4,6,11,-4,-2
229,75,110,74,69,82.00,1,9,13,-5,25,32,2,2,5,8,3,0
230,92,97,62,106,89.25,19,-7,3,10,20,34,34,15,9,3,1,6
231,87,105,80,10,70.50,19,11,2,-9,24,8,38,0,11,8,2,-3
232,70,90,80,76,79.00,10,16,14,1,36,21,36,18,5,1,2,5
233,73,87,75,89,81.00,11,8,18,20,15,38,30,20,8,2,7,7
234,53,68,28,49,49.50,9,9,7,6,27,25,22,23,-2,7,-1,4
235,76,88,68,103,83.75,11,15,14,16,22,29,14,32,1,8,2,5
236,63,72,109,63,76.75,11,5,9,9,31,13,42,11,1,2,4,8
237,106,108,60,65,84.75,22,-7,17,-2,71,3,17,14,7,4,6,2
238,92,96,95,50,83.25,11,13,15,6,16,17,45,13,1,3,9,-2
239,67,107,104,83,90.25,13,11,4,7,21,20,34,19,3,5,4,5
240,86,70,96,77,82.25,5,6,7,17,27,21,14,16,4,5,5,10
241,109,88,88,88,93.25,-2,7,9,16,17,14,34,29,4,10,4,12
242,52,95,10,48,51.25,12,8,-9,-1,19,15,0,12,10,7,-6,3
243,67,77,99,79,80.50,1,13,5,16,18,17,23,19,2,2,4,5
244,85,106,97,92,95.00,17,2,14,13,18,34,20,12,7,3,3,5
245,68,40,62,76,61.50,-1,5,4,11,33,22,15,24,2,4,4,1
246,69,71,51,76,66.75,12,-3,-10,12,8,20,30,13,-1,3,-2,8
247,45,54,57,103,64.75,1,2,1,1,14,10,29,36,2,3,-1,4
248,66,62,96,82,76.50,14,14,15,14,21,15,45,10,4,5,4,8
249,63,67,90,72,73.00,8,1,18,19,0,7,20,13,-6,-1,10,5
250,48,93,63,71,68.75,12,6,8,12,25,19,17,30,7,3,-2,5
251,75,59,84,81,74.75,2,2,20,8,30,24,20,36,2,-1,6,5
252,67,69,60,91,71.75,5,8,8,-5,13,18,0,33,5,4,5,3
253,79,94,65,79,79.25,8,6,2,15,18,19,13,28,9,7,1,4
254,3,91,53,89,59.00,-9,13,13,16,0,27,12,11,-6,6,5,9
255,71,63,35,39,52.00,13,10,-3,1,19,32,3,34,6,3,-1,5
256,75,76,101,74,81.50,4,15,20,8,19,12,7,16,8,3,6,-1
257,41,72,61,38,53.00,4,13,8,11,16,45,13,15,2,9,3,4
258,81,101,79,72,83.25,16,13,5,13,38,6,12,6,-2,9,1,-3
259,83,96,78,97,88.50,13,18,-6,12,14,46,4,23,3,6,2,2
260,86,86,66,60,74.50,14,-1,9,7,30,8,16,21,6,2,2,4
261,44,41,79,67,57.75,1,3,-7,6,13,32,22,23,7,3,3,5
262,76,112,61,78,81.75,11,18,14,7,5,18,24,50,1,12,9,1
263,49,39,40,74,50.50,-1,9,17,8,15,15,19,36,4,-3,7,6
264,38,67,70,83,64.50,-1,2,17,3,17,11,15,9,-2,1,8,4
265,83,87,82,110,90.50,0,3,4,8,22,9,31,10,2,3,4,5
266,61,96,55,83,73.75,3,22,15,1,5,35,13,14,-6,4,-1,4
267,40,87,47,61,58.75,7,6,4,13,26,15,16,22,2,1,1,10
268,90,85,78,72,81.25,24,0,12,11,37,22,36,18,12,3,5,1
269,17,49,39,79,46.00,-8,10,-1,14,0,21,15,35,-3,2,5,6
270,41,34,69,48,48.00,-3,5,16,13,12,6,20,38,2,3,11,4
271,82,57,105,107,87.75,11,19,11,11,17,8,15,9,1,3,8,2
272,65,85,113,73,84.00,9,2,8,-2,31,17,10,30,7,-1,6,0
273,41,78,73,68,65.00,1,5,21,11,1,6,15,48,-1,8,4,2
274,111,70,83,124,97.00,5,-4,15,23,10,20,14,24,5,2,9,7
275,84,93,55,79,77.75,13,10,8,15,39,32,15,4,9,7,6,4
276,96,120,76,68,90.00,21,22,7,0,16,18,32,4,6,14,6,-2
277,82,86,5,96,67.25,14,20,-9,13,3,48,0,27,3,9,-6,8
278,64,52,124,103,85.75,9,13,20,17,9,6,35,22,8,-1,9,9
279,92,75,91,79,84.25,21,9,4,15,43,11,12,10,9,-3,3,4
280,107,82,100,105,98.50,10,11,18,8,28,10,15,14,2,5,11,5
281,92,111,106,83,98.00,5,7,19,21,14,31,19,59,3,8,8,8
282,89,74,90,39,73.00,18,11,16,2,38,11,14,13,11,-3,-2,2
283,107,118,110,119,113.50,19,19,6,14,44,31,13,10,4,13,-1,8
284,69,80,84,86,79.75,9,3,15,15,6,24,23,28,4,2,7,2
285,68,6,81,93,62.00,12,-9,5,18,5,0,2,9,5,-6,5,2
286,63,47,107,51,67.00,13,2,14,-1,23,15,18,20,6,4,3,-1
287,86,61,82,84,78.25,6,-6,6,14,24,35,20,24,4,3,3,12
288,104,113,84,61,90.50,17,15,14,-2,8,8,8,15,6,5,6,3
289,89,47,120,98,88.50,-4,2,19,18,34,12,17,12,2,-3,11,8
290,77,93,90,60,80.00,9,15,7,18,14,37,38,15,-2,10,0,5
291,88,72,74,92,81.50,4,11,5,12,12,34,29,33,6,6,5,5
292,94,65,77,60,74.00,10,9,12,2,13,11,19,26,5,8,-4,1
293,91,70,106,112,94.75,11,2,15,18,15,13,37,33,8,4,6,12
294,89,42,33,39,50.75,1,7,-3,-4,12,8,14,30,3,3,-6,4
295,50,59,86,88,70.75,10,12,6,6,15,36,13,37,3,6,6,6
296,120,68,61,79,82.00,5,4,12,-4,17,11,18,16,5,0,10,1
297,76,89,73,119,89.25,11,2,11,11,18,6,15,21,2,2,4,5
298,81,50,74,90,73.75,0,12,2,19,30,29,8,30,5,1,3,7
299,115,92,110,80,99.25,20,8,22,9,11,1,39,10,7,2,10,2
300,6,60,79,55,50.00,-9,4,11,19,0,22,11,2,-3,4,3,5
301,39,39,76,63,54.25,-2,5,16,16,14,27,35,21,2,1,5,11
302,71,55,79,103,77.00,2,9,21,5,20,7,37,15,2,-5,6,3
303,67,70,77,88,75.50,14,15,6,13,12,23,5,19,7,-2,-1,4
304,83,44,70,53,62.50,5,-1,11,3,19,17,17,10,1,3,12,-2
305,83,89,68,102,85.50,16,12,13,11,14,33,17,13,10,2,-2,-1
306,114,67,88,80,87.25,3,1,15,10,18,19,43,36,4,4,11,2
307,46,76,33,79,58.50,3,9,5,17,31,32,26,37,-3,5,0,6
308,100,72,61,104,84.25,2,12,-4,20,18,20,13,33,4,5,4,8
309,60,82,67,79,72.00,11,5,0,19,17,4,12,24,1,4,0,7
310,85,83,82,76,81.50,16,8,-1,11,16,13,35,32,3,4,1,3
311,77,96,85,79,84.25,4,14,12,18,14,18,26,11,2,10,5,6
312,83,39,112,95,82.25,14,-8,10,15,45,0,36,21,4,1,4,9
313,68,85,79,59,72.75,-4,23,14,4,31,34,17,12,3,14,3,-1
314,78,89,58,92,79.25,11,19,4,16,19,18,16,21,6,6,4,4
315,62,86,103,61,78.00,11,15,2,1,8,16,13,33,0,8,1,-6
316,95,81,89,72,84.25,10,8,13,15,16,11,7,19,4,2,0,5
317,97,71,79,73,80.00,6,8,18,3,24,9,20,16,1,4,6,2
318,74,60,78,67,69.75,5,3,-9,2,13,10,17,16,4,-2,2,2
319,75,67,60,95,74.25,-1,11,-8,4,32,15,12,12,6,3,4,3
320,99,68,82,73,80.50,-2,2,5,8,31,25,12,11,4,2,-3,-4
321,116,88,98,49,87.75,16,12,19,3,24,12,7,15,8,3,2,2
322,74,93,76,110,88.25,21,19,2,1,16,9,35,11,5,11,2,5
323,88,101,74,42,76.25,16,11,19,-3,12,8,19,21,6,5,2,-1
324,67,99,95,47,77.00,-1,16,5,-1,10,21,33,10,6,7,7,2
325,113,95,117,101,106.50,18,16,18,4,16,15,33,36,9,3,10,5
326,41,92,97,84,78.50,-8,21,4,12,-1,59,25,6,1,6,4,1
327,85,118,74,91,92.00,4,14,16,18,26,40,13,8,2,5,5,8
328,58,72,111,86,81.75,13,12,12,12,27,8,6,12,2,-3,8,5
329,106,77,64,67,78.50,22,10,-7,9,26,25,2,7,14,1,4,1
330,61,59,84,101,76.25,12,12,1,11,15,29,20,14,1,2,1,8
331,103,61,97,55,79.00,21,-10,6,-8,29,12,6,12,9,1,5,5
332,63,58,43,59,55.75,4,-3,0,6,32,34,12,11,5,3,5,3
333,13,57,114,51,58.75,-10,0,9,15,0,35,15,17,-6,2,7,10
334,95,66,39,95,73.75,19,13,-5,15,22,18,27,18,7,5,1,6
335,76,101,108,78,90.75,2,-3,20,13,7,2,4,19,2,2,7,8
336,80,100,77,87,86.00,10,5,15,10,27,14,13,27,6,3,6,0
337,75,81,68,72,74.00,6,18,12,12,15,18,17,10,7,6,2,5
338,74,75,62,60,67.75,8,5,6,10,11,20,36,37,3,4,2,0
339,70,51,79,88,72.00,19,-4,14,11,48,36,28,25,5,1,5,1
340,74,65,109,69,79.25,8,0,13,17,10,20,17,17,1,7,3,-1
341,16,57,37,76,46.50,-10,13,-2,11,0,28,24,16,-4,2,3,6
342,67,71,59,54,62.75,15,14,9,-1,29,8,15,29,5,1,6,-2
343,81,59,116,85,85.25,21,9,1,17,23,18,5,36,10,2,5,7
344,23,67,60,39,47.25,2,-4,2,10,9,15,5,38,3,2,6,-3
345,61,98,105,76,85.00,0,4,17,14,13,21,27,46,5,5,7,8
346,62,87,67,94,77.50,2,20,9,6,22,18,13,22,5,-1,6,1
347,91,80,93,75,84.75,11,20,9,6,39,46,16,19,5,11,3,2
348,67,96,64,61,72.00,3,13,1,9,37,30,6,12,7,6,2,0
349,55,74,52,56,59.25,14,-8,7,14,11,3,11,39,2,1,2,7
350,84,83,64,80,77.75,2,4,20,12,7,12,16,22,0,3,7,3
351,64,110,82,81,84.25,15,19,8,6,14,67,26,36,8,5,1,8
352,63,3,32,59,39.25,4,-8,-6,24,35,0,19,34,1,-2,3,13
353,93,90,85,47,78.75,12,19,6,10,14,5,14,19,6,2,5,1
354,65,68,89,64,71.50,16,12,10,5,24,2,12,25,6,5,0,2
